CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/31/2017 02:00:00 AM,17-067818,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1700 TELEGRAPH AV,Oakland,CA,"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
MOTOR VEHICLE THEFT,12/16/2017 10:40:00 AM,17-065294,VEHICLE THEFT - AUTO,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
VANDALISM,10/24/2017 07:00:00 PM,17-916879,VANDALISM,,500 20TH ST,Oakland,CA,"500 20TH ST
Oakland, CA
(37.809581, -122.269628)"
ASSAULT,11/04/2017 07:40:00 AM,17-057922,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,22X,FLAGG AV & MONTANA ST,Oakland,CA,"FLAGG AV &amp; MONTANA ST
Oakland, CA
(37.798466, -122.216125)"
THEFT/LARCENY,12/18/2017 07:30:00 PM,17-065784,BURGLARY-AUTO,04X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
ASSAULT,10/26/2017 05:50:00 PM,17-056304,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,30X,OLIVE ST & RITCHIE ST,Oakland,CA,"OLIVE ST &amp; RITCHIE ST
Oakland, CA
(37.761477, -122.173849)"
ASSAULT,12/09/2017 04:45:00 AM,17-064062,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,22Y,MADELINE ST & MAPLE AV,Oakland,CA,"MADELINE ST &amp; MAPLE AV
Oakland, CA
(37.799202, -122.203156)"
ASSAULT,11/26/2017 11:10:00 PM,17-061752,BATTERY,26Y,80TH AV & INTERNATIONAL BLVD,Oakland,CA,"80TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.756639, -122.181587)"
ASSAULT,12/28/2017 09:30:00 AM,17-067386,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27Y,55TH AV & EDGERLY ST,Oakland,CA,"55TH AV &amp; EDGERLY ST
Oakland, CA
(37.770111, -122.199432)"
VANDALISM,12/09/2017 11:30:00 AM,17-919495,VANDALISM,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
THEFT/LARCENY,11/28/2017 12:00:00 PM,17-918689,BURGLARY-AUTO,01X,300 CASTRO ST,Oakland,CA,"300 CASTRO ST
Oakland, CA
(37.799376, -122.281688)"
MOTOR VEHICLE THEFT,12/12/2017 09:30:00 PM,17-064684,VEHICLE THEFT - AUTO,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
ASSAULT,11/14/2017 02:51:00 AM,17-059558,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,12TH ST & HARRISON ST,Oakland,CA,"12TH ST &amp; HARRISON ST
Oakland, CA
(37.801537, -122.268463)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
VANDALISM,12/10/2017 06:30:00 PM,17-919521,VANDALISM,,PIEDMONT AVE,Oakland,CA,"PIEDMONT AVE
Oakland, CA
"
MOTOR VEHICLE THEFT,12/23/2017 11:36:00 AM,17-066680,VEHICLE THEFT - OTHER VEHICLES,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
THEFT/LARCENY,10/22/2017 06:30:00 PM,17-916800,THEFT,13Z,2200 ARROWHEAD DRIVE,Oakland,CA,"2200 ARROWHEAD DRIVE
Oakland, CA
(37.836134, -122.190307)"
ROBBERY,01/10/2018 09:30:00 PM,18-001750,ROBBERY-KNIFE OR CUTTING INSTRUMENT,24X,3900 BLK FOOTHILL BLVD,Oakland,CA,"3900 BLK FOOTHILL BLVD
Oakland, CA
(37.778347, -122.215921)"
ASSAULT,01/01/2018 09:19:00 AM,18-000065,BATTERY,32Y,10400 MACARTHUR BLVD,Oakland,CA,"10400 MACARTHUR BLVD
Oakland, CA
(37.743389, -122.152898)"
THEFT/LARCENY,10/23/2017 07:10:00 PM,17-916807,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
VANDALISM,01/07/2018 12:00:00 AM,18-001330,VANDALISM,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,12/05/2017 09:00:00 AM,17-063418,VANDALISM,34X,2000 85TH AV,Oakland,CA,"2000 85TH AV
Oakland, CA
(37.756885, -122.170397)"
ASSAULT,12/31/2017 06:50:00 PM,17-067907,INFLICT CRPL INJ SP/COHAB,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
ASSAULT,11/27/2017 06:58:00 PM,17-061917,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,INTERNATIONAL BLVD & SEMINARY AV,Oakland,CA,"INTERNATIONAL BLVD &amp; SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
ASSAULT,10/24/2017 11:40:00 AM,17-055821,THREAT CRIME:INT:TERRORIZE,21Y,3100 ASHBROOK CT,Oakland,CA,"3100 ASHBROOK CT
Oakland, CA
(37.786452, -122.222164)"
ASSAULT,10/21/2017 08:30:00 PM,17-056170,BATTERY,07X,32ND ST & ADELINE ST,Oakland,CA,"32ND ST &amp; ADELINE ST
Oakland, CA
(37.823765, -122.280992)"
MOTOR VEHICLE THEFT,12/19/2017 12:15:00 PM,17-065872,VEHICLE THEFT - AUTO,19X,1500 16TH AV,Oakland,CA,"1500 16TH AV
Oakland, CA
(37.78943, -122.243166)"
THEFT/LARCENY,11/04/2017 05:52:00 PM,17-917453,BURGLARY-AUTO,04X,400 22ND ST,Oakland,CA,"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
ROBBERY,11/21/2017 07:26:00 PM,17-060927,ROBBERY-FIREARM,20X,300 23RD AV,Oakland,CA,"300 23RD AV
Oakland, CA
(37.773198, -122.235897)"
THEFT/LARCENY,12/07/2017 10:45:00 AM,17-063690,GRAND THEFT FROM PERSON,23X,4000 INTERNATIONAL BLVD,Oakland,CA,"4000 INTERNATIONAL BLVD
Oakland, CA
(37.773876, -122.217943)"
DRUGS/ALCOHOL VIOLATIONS,11/18/2017 03:00:00 PM,17-060363,DISORDERLY CONDUCT:TOLUENE,14X,GRAND AV & PERKINS ST,Oakland,CA,"GRAND AV &amp; PERKINS ST
Oakland, CA
(37.808964, -122.256139)"
VANDALISM,10/25/2017 03:30:00 PM,17-916863,VANDALISM,27X,5100 FOOTHILL BOULEVARD,Oakland,CA,"5100 FOOTHILL BOULEVARD
Oakland, CA
(37.772637, -122.205087)"
THEFT/LARCENY,11/27/2017 06:30:00 PM,17-918654,BURGLARY-AUTO,14Y,700 WALKER AVE,Oakland,CA,"700 WALKER AVE
Oakland, CA
(37.811446, -122.246945)"
THEFT/LARCENY,10/20/2017 02:30:00 PM,17-916760,BURGLARY-AUTO,32Y,9800 BURR ST,Oakland,CA,"9800 BURR ST
Oakland, CA
(37.750766, -122.155656)"
ASSAULT,11/24/2017 06:06:00 PM,17-061378,BATTERY,02Y,14TH ST & PERALTA ST,Oakland,CA,"14TH ST &amp; PERALTA ST
Oakland, CA
(37.811369, -122.293938)"
THEFT/LARCENY,01/09/2018 08:00:00 PM,18-001655,BURGLARY-AUTO,33X,9400 D ST,Oakland,CA,"9400 D ST
Oakland, CA
(37.744635, -122.177697)"
VANDALISM,12/11/2017 08:40:00 AM,17-919541,VANDALISM,25X,00 SELKIRK ST,Oakland,CA,"00 SELKIRK ST
Oakland, CA
"
ASSAULT,11/04/2017 03:15:00 AM,17-057908,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,20X,E 12TH ST & 23RD AV,Oakland,CA,"E 12TH ST &amp; 23RD AV
Oakland, CA
(37.782475, -122.236819)"
MOTOR VEHICLE THEFT,11/21/2017 05:00:00 PM,17-061092,VEHICLE THEFT - AUTO,23X,3200 E 9TH ST,Oakland,CA,"3200 E 9TH ST
Oakland, CA
(37.77355, -122.228132)"
ASSAULT,01/04/2018 11:44:00 AM,18-000635,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM,02X,1100 8TH ST,Oakland,CA,"1100 8TH ST
Oakland, CA
(37.804694, -122.287201)"
VANDALISM,10/24/2017 08:50:00 AM,17-916837,VANDALISM,15X,900 PROSPECT AVE,Oakland,CA,"900 PROSPECT AVE
Oakland, CA
(37.804318, -122.23962)"
THEFT/LARCENY,12/05/2017 07:12:00 AM,17-063350,THEFT,23X,4200 INTERNATIONAL BLVD,Oakland,CA,"4200 INTERNATIONAL BLVD
Oakland, CA
(37.772651, -122.215377)"
ASSAULT,01/01/2018 12:04:00 AM,18-000002,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,105TH AV & INTERNATIONAL BLVD,Oakland,CA,"105TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.739259, -122.166718)"
THEFT/LARCENY,11/27/2017 07:35:00 PM,17-918650,BURGLARY-AUTO,13Z,2000 MOUNTAIN BOULEVARD,Oakland,CA,"2000 MOUNTAIN BOULEVARD
Oakland, CA
(37.827181, -122.209917)"
VANDALISM,11/15/2017 05:57:00 AM,17-059737,VANDALISM (AMENDED),35Y,GREENRIDGE DR & KELLER AV,Oakland,CA,"GREENRIDGE DR &amp; KELLER AV
Oakland, CA
(37.772468, -122.154154)"
ASSAULT,12/07/2017 06:13:00 AM,17-063832,BATTERY,23X,FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA,"FRUITVALE AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
DRUGS/ALCOHOL VIOLATIONS,10/20/2017 03:50:00 PM,17-055147,POSSESS NARCOTIC CONTROLLED SUBSTANCE,06X,36TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"36TH ST &amp; MARTIN LUTHER KING JR WY
Oakland, CA
(37.825098, -122.269598)"
ASSAULT,01/09/2018 11:34:00 PM,18-001590,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,5100 BANCROFT AV,Oakland,CA,"5100 BANCROFT AV
Oakland, CA
(37.771773, -122.204876)"
THEFT/LARCENY,10/13/2017 08:00:00 PM,17-916235,BURGLARY-AUTO,21Y,2700 SCHOOL ST,Oakland,CA,"2700 SCHOOL ST
Oakland, CA
(37.795804, -122.217789)"
THEFT/LARCENY,12/11/2017 11:00:00 AM,17-919540,THEFT,07X,2600 MYRTLE ST,Oakland,CA,"2600 MYRTLE ST
Oakland, CA
(37.817757, -122.278603)"
ASSAULT,12/05/2017 08:45:00 AM,17-063297,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,8400 ENTERPRISE WY,Oakland,CA,"8400 ENTERPRISE WY
Oakland, CA
(37.743996, -122.194839)"
DUI,01/03/2018 10:21:00 PM,18-000532,DUI ALCOHOL/DRUGS,19X,E 12TH ST & 22ND AV,Oakland,CA,"E 12TH ST &amp; 22ND AV
Oakland, CA
(37.783796, -122.238628)"
ROBBERY,12/03/2017 09:26:00 PM,17-063063,CARJACKING WITH FIREARM,26Y,61ST AV & TEVIS ST,Oakland,CA,"61ST AV &amp; TEVIS ST
Oakland, CA
(37.761831, -122.201599)"
ASSAULT,11/05/2017 04:00:00 AM,17-058079,ASSAULT WITH FIREARM ON PERSON,23X,FRUITVALE AV & FOOTHILL BLVD,Oakland,CA,"FRUITVALE AV &amp; FOOTHILL BLVD
Oakland, CA
(37.78374, -122.222771)"
THEFT/LARCENY,11/30/2017 11:41:00 PM,17-062536,BURGLARY-AUTO,12Y,66TH ST & TELEGRAPH AV,Oakland,CA,"66TH ST &amp; TELEGRAPH AV
Oakland, CA
(37.852021, -122.260262)"
VANDALISM,12/31/2017 12:00:00 AM,18-900781,VANDALISM,21X,2400 26TH AVE,Oakland,CA,"2400 26TH AVE
Oakland, CA
(37.78864, -122.225217)"
THEFT/LARCENY,12/31/2017 04:30:00 PM,18-900782,THEFT,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.795899, -122.278007)"
THEFT/LARCENY,11/01/2017 08:30:00 PM,17-064741,THEFT,26X,48TH AV & INTERNATIONAL BLVD,Oakland,CA,"48TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.769936, -122.209755)"
THEFT/LARCENY,12/31/2017 12:51:00 PM,18-900795,GRAND THEFT,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.805162, -122.293993)"
ASSAULT,11/17/2017 03:26:00 AM,17-060306,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,94TH AV & PLYMOUTH ST,Oakland,CA,"94TH AV &amp; PLYMOUTH ST
Oakland, CA
(37.748691, -122.169301)"
ROBBERY,12/19/2017 02:43:00 AM,17-065824,ROBBERY-FIREARM,31Z,10800 RUSSETT ST,Oakland,CA,"10800 RUSSETT ST
Oakland, CA
(37.733695, -122.17312)"
ASSAULT,10/28/2017 07:40:00 PM,17-056677,BATTERY,27Y,5900 INTERNATIONAL BLVD,Oakland,CA,"5900 INTERNATIONAL BLVD
Oakland, CA
(37.765111, -122.19952)"
THEFT/LARCENY,10/14/2017 02:30:00 PM,17-916213,BURGLARY-AUTO,31X,8400 EDGEWATER DRIVE,Oakland,CA,"8400 EDGEWATER DRIVE
Oakland, CA
(37.737486, -122.198228)"
ASSAULT,01/11/2018 01:20:00 PM,18-001878,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,19X,12TH ST&23RD AV,Oakland,CA,"12TH ST&amp;23RD AV
Oakland, CA
"
MOTOR VEHICLE THEFT,12/18/2017 05:48:00 PM,17-065802,VEHICLE THEFT - AUTO,05Y,1400 17TH ST,Oakland,CA,"1400 17TH ST
Oakland, CA
(37.813056, -122.290868)"
MOTOR VEHICLE THEFT,12/04/2017 09:00:00 PM,17-063260,VEHICLE THEFT - AUTO,25X,3600 BROWN AV,Oakland,CA,"3600 BROWN AV
Oakland, CA
(37.791815, -122.198748)"
ASSAULT,11/20/2017 11:30:00 AM,17-060766,THREAT CRIME:INT:TERRORIZE,24X,2100 38TH AV,Oakland,CA,"2100 38TH AV
Oakland, CA
(37.781197, -122.213618)"
THEFT/LARCENY,10/13/2017 12:00:00 AM,17-916189,THEFT,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
VANDALISM,12/11/2017 05:00:00 PM,17-919547,VANDALISM,13X,6500 BROADWAY,Oakland,CA,"6500 BROADWAY
Oakland, CA
(37.848653, -122.230788)"
ROBBERY,01/10/2018 01:00:00 PM,18-001687,ROBBERY-FIREARM,10Y,800 56TH ST,Oakland,CA,"800 56TH ST
Oakland, CA
(37.840666, -122.269999)"
THEFT/LARCENY,11/27/2017 08:00:00 PM,17-918677,BURGLARY-AUTO,,TELEGRAPH AVE/48TH ST,Oakland,CA,"TELEGRAPH AVE/48TH ST
Oakland, CA
"
THEFT/LARCENY,12/03/2017 03:00:00 AM,17-062936,GRAND THEFT,03X,14TH ST & BROADWAY,Oakland,CA,"14TH ST &amp; BROADWAY
Oakland, CA
(37.804316, -122.271185)"
VANDALISM,11/02/2017 09:00:00 PM,17-917346,VANDALISM,04X,WEBSTER ST & 20TH ST,Oakland,CA,"WEBSTER ST &amp; 20TH ST
Oakland, CA
(37.808444, -122.266053)"
DRUGS/ALCOHOL VIOLATIONS,12/31/2017 04:10:00 AM,17-067826,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,1000 W GRAND AV,Oakland,CA,"1000 W GRAND AV
Oakland, CA
(37.814967, -122.281099)"
MOTOR VEHICLE THEFT,10/22/2017 05:45:00 PM,17-057624,SC STOLEN VEHICLE - AUTO,12Y,5200 SHAFTER AV,Oakland,CA,"5200 SHAFTER AV
Oakland, CA
(37.837985, -122.257248)"
MOTOR VEHICLE THEFT,12/15/2017 09:30:00 PM,17-065366,VEHICLE THEFT - AUTO,77X,98TH AV & PEACH ST,Oakland,CA,"98TH AV &amp; PEACH ST
Oakland, CA
"
DUI,12/12/2017 11:41:00 PM,17-064672,DUI ALCOHOL/DRUGS,23X,42ND AV & FOOTHILL BLVD,Oakland,CA,"42ND AV &amp; FOOTHILL BLVD
Oakland, CA
(37.775605, -122.212831)"
DISTURBING THE PEACE,12/20/2017 12:00:00 AM,17-066844,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
SEX CRIMES,12/15/2017 04:57:00 AM,17-065113,DISORDERLY CONDUCT:PROSTITUTION,20X,INTERNATIONAL BLVD & MILLER AV,Oakland,CA,"INTERNATIONAL BLVD &amp; MILLER AV
Oakland, CA
(37.782757, -122.234863)"
ASSAULT,01/11/2018 12:14:00 AM,18-001773,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,2400 BLK WILLOW STREET,Oakland,CA,"2400 BLK WILLOW STREET
Oakland, CA
(37.819611, -122.291008)"
ASSAULT,12/04/2017 09:05:00 PM,17-063230,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,13Z,6400 MORAGA AV,Oakland,CA,"6400 MORAGA AV
Oakland, CA
(37.827178, -122.211313)"
DUI,10/25/2017 05:00:00 PM,17-056088,DUI ALCOHOL/DRUGS,04X,17TH ST & CASTRO ST,Oakland,CA,"17TH ST &amp; CASTRO ST
Oakland, CA
(37.808644, -122.275916)"
THEFT/LARCENY,11/27/2017 11:30:00 AM,17-918664,BURGLARY-AUTO,04X,1500 LAKESIDE DRIVE,Oakland,CA,"1500 LAKESIDE DRIVE
Oakland, CA
(37.802944, -122.261708)"
ROBBERY,01/02/2018 06:16:00 PM,18-000315,ROBBERY-FIREARM,02X,1000 12TH ST,Oakland,CA,"1000 12TH ST
Oakland, CA
(37.791249, -122.250477)"
ROBBERY,12/18/2017 08:00:00 PM,17-065782,ROBBERY-FIREARM,17X,500 E 19TH ST,Oakland,CA,"500 E 19TH ST
Oakland, CA
(37.798949, -122.24912)"
DRUGS/ALCOHOL VIOLATIONS,12/11/2017 10:07:00 PM,17-064492,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,32X,98TH AV & INTERNATIONAL BLVD,Oakland,CA,"98TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.744413, -122.170456)"
DRUGS/ALCOHOL VIOLATIONS,11/11/2017 05:20:00 PM,17-059178,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,23RD ST & SAN PABLO AV,Oakland,CA,"23RD ST &amp; SAN PABLO AV
Oakland, CA
(37.813819, -122.274259)"
MOTOR VEHICLE THEFT,11/22/2017 10:00:00 PM,17-061114,VEHICLE THEFT - AUTO,07X,2700 CHESTNUT ST,Oakland,CA,"2700 CHESTNUT ST
Oakland, CA
(37.819646, -122.281308)"
VANDALISM,10/25/2017 01:00:00 AM,17-916889,VANDALISM,06X,900 35TH ST,Oakland,CA,"900 35TH ST
Oakland, CA
(37.825542, -122.275198)"
BURGLARY,10/20/2017 06:25:00 AM,17-055134,BURGLARY-NO FORCE,08X,SHAFTER AV & W MACARTHUR BLVD,Oakland,CA,"SHAFTER AV &amp; W MACARTHUR BLVD
Oakland, CA
(37.825055, -122.260535)"
DRUGS/ALCOHOL VIOLATIONS,11/01/2017 08:03:00 PM,17-057449,POSSESS MARIJUANA/HASHISH FOR SALE,27Y,62ND AV & HAYES ST,Oakland,CA,"62ND AV &amp; HAYES ST
Oakland, CA
(37.767226, -122.192623)"
THEFT/LARCENY,11/29/2017 12:00:00 AM,17-062638,BURGLARY-AUTO,03Y,CASTRO ST & 9TH ST,Oakland,CA,"CASTRO ST &amp; 9TH ST
Oakland, CA
(37.803169, -122.279165)"
ASSAULT,12/29/2017 02:30:00 PM,17-067606,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,900 72ND AV,Oakland,CA,"900 72ND AV
Oakland, CA
(37.755164, -122.194892)"
ASSAULT,12/22/2017 06:00:00 PM,17-066607,INFLICT CRPL INJ SP/COHAB,11X,ALCATRAZ AVE & SHATTUCK AVE,Oakland,CA,"ALCATRAZ AVE &amp; SHATTUCK AVE
Oakland, CA
(37.849493, -122.265732)"
ASSAULT,12/19/2017 10:30:00 AM,17-065883,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,12Y,COLLEGE AV & KEITH AV,Oakland,CA,"COLLEGE AV &amp; KEITH AV
Oakland, CA
(37.844021, -122.251719)"
THEFT/LARCENY,12/04/2017 12:00:00 PM,17-063215,BURGLARY-AUTO,03X,12TH ST & ALICE ST,Oakland,CA,"12TH ST &amp; ALICE ST
Oakland, CA
(37.801081, -122.267286)"
VANDALISM,01/01/2018 12:00:00 AM,18-900793,VANDALISM,01X,200 4TH ST,Oakland,CA,"200 4TH ST
Oakland, CA
(37.7951, -122.269561)"
VANDALISM,11/21/2017 10:00:00 AM,17-918691,VANDALISM,07X,2500 LINDEN ST,Oakland,CA,"2500 LINDEN ST
Oakland, CA
(37.817627, -122.280877)"
THEFT/LARCENY,12/09/2017 12:45:00 PM,17-919506,BURGLARY-AUTO,07X,3100 MAGNOLIA ST,Oakland,CA,"3100 MAGNOLIA ST
Oakland, CA
(37.823329, -122.282318)"
ASSAULT,11/11/2017 03:11:00 PM,17-059168,BATTERY W/SERIOUS BODILY INJURY,34X,90TH AV & INTERNATIONAL BLVD,Oakland,CA,"90TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.749824, -122.174624)"
THEFT/LARCENY,11/27/2017 08:10:00 PM,17-918674,BURGLARY-AUTO,03X,1000 WEBSTER ST,Oakland,CA,"1000 WEBSTER ST
Oakland, CA
(37.800633, -122.270503)"
ROBBERY,12/04/2017 10:00:00 AM,17-063108,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26Y,6400 INTERNATIONAL BLVD,Oakland,CA,"6400 INTERNATIONAL BLVD
Oakland, CA
(37.763032, -122.195145)"
ASSAULT,10/27/2017 08:17:00 AM,17-056421,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,26X,E 12TH ST & 44TH AV,Oakland,CA,"E 12TH ST &amp; 44TH AV
Oakland, CA
(37.771149, -122.214841)"
THEFT/LARCENY,12/22/2017 08:55:00 PM,17-066589,BURGLARY-AUTO,08X,24TH ST & BROADWAY,Oakland,CA,"24TH ST &amp; BROADWAY
Oakland, CA
(37.813404, -122.265569)"
ASSAULT,10/24/2017 09:21:00 PM,17-055912,ASSAULT WITH FIREARM ON PERSON,35X,94TH AV & MACARTHUR BLVD,Oakland,CA,"94TH AV &amp; MACARTHUR BLVD
Oakland, CA
(37.752905, -122.160314)"
THEFT/LARCENY,12/10/2017 05:55:00 PM,17-919508,BURGLARY-AUTO,31X,400 HEGENBERGER ROAD,Oakland,CA,"400 HEGENBERGER ROAD
Oakland, CA
(37.735772, -122.197083)"
ASSAULT,11/20/2017 09:14:00 PM,17-060742,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,MINNA AV & PENNIMAN AV,Oakland,CA,"MINNA AV &amp; PENNIMAN AV
Oakland, CA
(37.786244, -122.202754)"
THEFT/LARCENY,01/01/2018 10:45:00 AM,18-900768,THEFT,03Y,1200 CLAY ST,Oakland,CA,"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
ASSAULT,12/17/2017 08:00:00 AM,17-065815,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27X,4700 CONGRESS AV,Oakland,CA,"4700 CONGRESS AV
Oakland, CA
(37.778567, -122.204569)"
ASSAULT,10/17/2017 03:00:00 AM,17-054436,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02X,1100 12TH ST,Oakland,CA,"1100 12TH ST
Oakland, CA
(37.807899, -122.285767)"
ASSAULT,12/07/2017 01:23:00 AM,17-063644,ASSAULT WITH FIREARM ON PERSON,19X,12TH AV & INTERNATIONAL BLVD,Oakland,CA,"12TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.790605, -122.248033)"
MOTOR VEHICLE THEFT,11/17/2017 10:15:00 AM,17-060173,VEHICLE THEFT - AUTO,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
MOTOR VEHICLE THEFT,11/18/2017 08:31:00 PM,17-060033,VEHICLE THEFT - AUTO,31Y,98TH AV & BIGGE AV,Oakland,CA,"98TH AV &amp; BIGGE AV
Oakland, CA
(37.729533, -122.193808)"
MOTOR VEHICLE THEFT,12/14/2017 08:08:00 AM,17-064919,VEHICLE THEFT - AUTO,31Z,9800 PEARMAIN ST,Oakland,CA,"9800 PEARMAIN ST
Oakland, CA
(37.738233, -122.18081)"
THEFT/LARCENY,11/09/2017 02:00:00 PM,17-058994,PETTY THEFT:$50-,17Y,1100 E 24TH ST,Oakland,CA,"1100 E 24TH ST
Oakland, CA
(37.797943, -122.239626)"
MOTOR VEHICLE THEFT,08/08/2104 12:00:00 AM,14-040258,VEHICLE THEFT - AUTO,02X,12TH ST & MANDELA PKWY,Oakland,CA,"12TH ST &amp; MANDELA PKWY
Oakland, CA
(37.809151, -122.292261)"
VANDALISM,10/23/2017 12:00:00 AM,17-916774,VANDALISM,,2600 BLK 26TH ST,Oakland,CA,"2600 BLK 26TH ST
Oakland, CA
"
ASSAULT,11/16/2017 07:45:00 AM,17-059962,BATTERY,32Y,9900 BANCROFT AV,Oakland,CA,"9900 BANCROFT AV
Oakland, CA
(37.746208, -122.160018)"
ASSAULT,11/16/2017 03:00:00 PM,17-060047,EXHIBIT FIREARM,35X,2300 96TH AV,Oakland,CA,"2300 96TH AV
Oakland, CA
(37.750273, -122.16191)"
THEFT/LARCENY,01/01/2018 03:00:00 AM,18-000084,THEFT,02Y,1700 GOSS ST,Oakland,CA,"1700 GOSS ST
Oakland, CA
(37.807388, -122.300588)"
VANDALISM,11/04/2017 08:30:00 PM,17-917487,VANDALISM,04X,1900 FRANKLIN ST,Oakland,CA,"1900 FRANKLIN ST
Oakland, CA
(37.807302, -122.267798)"
VANDALISM,12/04/2017 02:39:00 PM,17-063185,VANDALISM:DAMAGE PROPERTY,04X,300 15TH ST,Oakland,CA,"300 15TH ST
Oakland, CA
(37.803956, -122.267163)"
ASSAULT,12/18/2017 03:10:00 PM,17-065775,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,86TH AV & A ST,Oakland,CA,"86TH AV &amp; A ST
Oakland, CA
(37.751713, -122.178369)"
MOTOR VEHICLE THEFT,12/02/2017 11:00:00 PM,17-063201,VEHICLE THEFT - AUTO,03X,14TH ST & HARRISON ST,Oakland,CA,"14TH ST &amp; HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
FRAUD,12/08/2017 02:00:00 PM,17-919502,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,03X,800 HARRISON ST,Oakland,CA,"800 HARRISON ST
Oakland, CA
(37.799102, -122.270003)"
THEFT/LARCENY,12/19/2017 06:55:00 PM,17-065958,BURGLARY-AUTO,13Z,6200 MEDAU PL,Oakland,CA,"6200 MEDAU PL
Oakland, CA
(37.827343, -122.210049)"
